team,year,conference,seed,wins,losses,win_pct,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating,ncaa_wins,ncaa_loss
Connecticut,2008,Big East,4,24,8,0.75,77.5,68.7,15.54,6.75,26.3,57.0,0.462,21.2,42.9,0.495,5.1,14.1,0.361,19.8,27.4,0.72,13.6,28.3,41.9,14.8,5.7,8.6,13.7,15.3,,,,San Diego
Xavier,2008,Atlantic 10,3,27,6,0.818,75.1,63.4,17.17,5.46,25.3,53.3,0.474,17.7,33.8,0.522,7.6,19.5,0.391,16.9,22.6,0.749,11.1,24.6,35.7,15.2,5.6,3.4,13.0,17.4,,,"Georgia, Purdue, West Virginia",UCLA
Duke,2008,ACC,2,27,5,0.844,83.2,69.4,21.52,9.28,28.4,61.3,0.463,19.3,37.3,0.517,9.1,24.0,0.377,17.5,25.1,0.697,12.5,24.4,36.9,14.6,8.7,3.9,13.6,19.2,,,Belmont,West Virginia
UCLA,2008,Pac-10,1,31,3,0.912,73.5,59.0,21.71,7.71,26.4,55.5,0.476,20.9,39.8,0.525,5.5,15.7,0.35,15.3,20.8,0.732,12.6,24.1,36.7,14.4,7.3,4.3,12.6,14.6,,,"Mississippi Valley State, Texas A&M, Western Kentucky, Xavier",Memphis
Texas–Arlington,2008,Southland,16,21,11,0.656,73.4,68.9,-2.87,-4.62,26.3,55.2,0.477,20.2,37.7,0.537,6.1,17.5,0.348,14.7,22.5,0.655,10.7,27.2,37.8,14.2,6.6,2.6,17.1,19.7,,,,Memphis
Austin Peay,2008,Ohio Valley,15,24,10,0.706,74.0,70.8,-2.21,-5.24,24.4,54.8,0.446,16.6,34.3,0.484,7.8,20.4,0.382,17.3,24.3,0.714,10.3,21.3,31.6,14.3,9.6,2.1,12.6,17.6,,,,Texas
Cornell,2008,Ivy League,14,22,5,0.815,76.3,68.5,0.76,-4.74,27.1,55.8,0.485,18.9,35.9,0.528,8.1,19.9,0.409,14.0,18.4,0.761,9.2,24.3,33.5,15.3,6.1,3.1,13.6,18.2,,,,Stanford
Oral Roberts,2008,Summit,13,24,8,0.75,69.2,62.0,5.71,-0.26,23.8,54.0,0.44,17.0,35.7,0.477,6.8,18.3,0.369,14.8,22.1,0.67,11.2,24.6,35.8,13.5,6.2,4.0,13.1,16.8,,,,Pittsburgh
Temple,2008,Atlantic 10,12,21,12,0.636,72.3,68.7,8.16,4.57,25.2,53.8,0.469,17.4,32.6,0.533,7.8,21.2,0.369,14.0,19.0,0.74,8.9,23.7,32.6,15.0,6.3,4.4,12.7,17.7,,,,Michigan State
Kentucky,2008,SEC,11,18,12,0.6,68.5,65.6,9.19,7.09,23.7,50.5,0.469,17.8,34.6,0.515,5.9,15.9,0.369,15.2,20.8,0.733,9.7,23.8,33.5,12.7,6.6,4.8,15.8,18.9,,,,Marquette
Saint Mary's,2008,West Coast,10,25,6,0.806,75.7,63.7,11.39,0.36,26.4,57.6,0.458,18.5,35.5,0.52,7.9,22.1,0.36,14.9,22.6,0.661,12.0,25.9,38.0,14.6,7.2,5.3,13.7,17.4,,,,Miami (FL)
Oregon,2008,Pac-10,9,18,13,0.581,76.6,72.5,11.68,7.65,26.8,55.9,0.48,18.1,33.7,0.538,8.7,22.2,0.392,14.2,20.5,0.694,10.2,23.9,34.2,14.8,4.6,2.5,12.6,18.3,,,,Mississippi State
Mississippi State,2008,SEC,8,22,10,0.688,73.2,65.5,13.42,5.74,26.0,56.5,0.46,19.1,35.9,0.533,6.9,20.7,0.334,14.2,22.0,0.646,12.1,28.7,40.7,13.2,5.9,7.9,15.0,16.7,,,Oregon,Memphis
Miami (FL),2008,ACC,7,22,10,0.688,74.8,67.9,12.38,7.13,25.5,58.4,0.437,18.6,40.4,0.46,6.9,18.0,0.385,16.8,22.5,0.747,12.7,25.3,38.0,13.3,5.9,4.6,13.4,18.8,,,Saint Mary's (CA),Texas
Marquette,2008,Big East,6,24,9,0.727,75.9,64.8,18.62,8.09,26.5,59.5,0.446,19.5,39.6,0.493,7.0,19.9,0.353,15.8,22.4,0.706,13.5,23.2,36.8,14.7,9.3,3.8,12.9,20.9,,,Kentucky,Stanford
Michigan State,2008,Big Ten,5,25,8,0.758,71.2,62.6,16.32,7.68,26.4,54.9,0.48,21.4,41.5,0.516,5.0,13.4,0.371,13.5,18.4,0.737,12.2,24.7,36.9,17.5,5.8,4.2,13.6,18.5,,,"Temple, Pittsburgh",Memphis
Pittsburgh,2008,Big East,4,26,9,0.743,73.8,65.1,15.62,7.84,26.9,59.1,0.456,20.9,40.9,0.51,6.1,18.1,0.335,13.8,20.8,0.667,14.4,23.4,37.8,15.6,6.8,3.4,12.0,16.2,,,Oral Roberts,Michigan State
Stanford,2008,Pac-10,3,26,7,0.788,70.9,61.6,16.31,6.95,25.0,55.8,0.449,19.5,40.7,0.48,5.5,15.1,0.366,15.3,22.1,0.694,13.3,25.9,39.1,14.6,4.4,5.2,12.3,17.0,,,"Cornell, Marquette",Texas
Texas,2008,Big 12,2,28,6,0.824,75.5,64.9,18.13,8.59,27.2,60.1,0.452,19.0,39.1,0.487,8.1,21.1,0.386,13.0,19.1,0.683,13.1,25.1,38.1,13.2,6.0,5.2,9.4,16.6,,,"Austin Peay, Miami (FL), Stanford",Memphis
Memphis,2008,C-USA,1,33,1,0.971,79.9,61.9,23.73,5.76,28.6,61.4,0.466,21.0,39.7,0.529,7.6,21.6,0.349,15.2,24.8,0.614,14.1,26.4,40.5,15.9,8.4,6.1,11.8,17.3,,,"UT Arlington, Mississippi State, Michigan State, Texas, UCLA",Kansas
Portland State,2008,Big Sky,16,23,9,0.719,73.9,68.0,1.72,-3.01,25.6,55.2,0.464,16.7,32.5,0.514,8.9,22.7,0.393,13.7,20.2,0.677,11.5,22.7,34.2,15.8,7.0,3.3,14.7,17.9,,,,Kansas
UMBC,2008,America East,15,24,8,0.75,74.2,68.4,0.06,-4.53,26.3,58.4,0.451,18.8,39.1,0.481,7.5,19.3,0.389,14.1,19.4,0.725,11.2,22.9,34.1,15.2,6.3,3.5,9.6,16.3,,,,Georgetown
Cal State Fullerton,2008,Big West,14,24,8,0.75,81.8,72.7,5.64,-3.06,29.5,62.4,0.473,20.9,40.0,0.522,8.6,22.5,0.385,14.2,20.2,0.702,11.8,24.0,35.8,15.3,9.0,1.5,13.5,19.1,,,,Wisconsin
Siena,2008,MAAC,13,22,10,0.688,76.9,71.2,4.06,-1.62,27.3,60.5,0.451,20.3,42.1,0.481,7.0,18.4,0.382,15.2,22.1,0.689,11.5,22.3,33.8,14.4,9.4,3.5,11.3,15.5,,,Vanderbilt,Villanova
Villanova,2008,Big East,12,20,12,0.625,72.8,69.5,11.0,7.69,24.8,57.5,0.431,17.9,37.4,0.478,6.9,20.1,0.344,16.3,22.4,0.727,13.1,22.9,35.9,13.3,8.1,2.8,14.4,20.8,,,"Clemson, Siena",Kansas
Kansas State,2008,Big 12,11,20,11,0.645,78.0,68.9,15.79,7.79,27.8,62.6,0.443,21.4,42.6,0.502,6.4,20.1,0.317,16.1,23.5,0.687,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2,,,Southern California,Wisconsin
Davidson,2008,Southern,10,26,6,0.812,77.9,63.2,13.93,1.66,28.7,61.1,0.469,19.6,36.1,0.542,9.1,25.0,0.364,11.4,15.9,0.717,11.6,24.6,36.2,17.1,8.1,3.2,11.8,18.2,,,"Gonzaga, Georgetown, Wisconsin",Kansas
Kent State,2008,MAC,9,28,6,0.824,68.9,61.9,7.47,0.41,24.0,51.7,0.464,18.2,35.9,0.506,5.8,15.7,0.367,15.2,21.3,0.714,11.0,22.3,33.3,13.9,8.6,3.8,14.7,18.7,,,,Nevada-Las Vegas
UNLV,2008,Mountain West,8,26,7,0.788,69.7,62.3,10.23,4.02,24.1,57.1,0.422,16.6,34.4,0.482,7.5,22.7,0.332,13.9,18.7,0.747,10.2,24.4,34.5,14.6,7.9,3.0,10.8,17.3,,,Kent State,Kansas
Gonzaga,2008,West Coast,7,25,7,0.781,76.5,63.8,14.81,2.15,27.0,55.7,0.485,20.4,37.9,0.537,6.7,17.8,0.375,15.8,22.1,0.712,11.2,26.2,37.4,14.5,7.7,4.6,14.3,17.7,,,,Davidson
USC,2008,Pac-10,6,21,11,0.656,69.0,63.7,13.89,8.59,24.8,51.8,0.48,19.3,37.4,0.515,5.6,14.4,0.387,13.7,20.0,0.685,9.2,24.3,33.5,12.4,5.7,4.4,14.6,16.1,,,,Kansas State
Clemson,2008,ACC,5,24,9,0.727,79.2,69.8,18.05,9.08,29.4,64.4,0.456,21.4,43.0,0.498,8.0,21.4,0.372,12.4,19.9,0.623,15.8,22.6,38.4,15.7,9.8,5.4,14.9,19.5,,,,Villanova
Vanderbilt,2008,SEC,4,26,7,0.788,80.0,74.6,10.96,5.54,27.3,58.7,0.465,18.4,36.3,0.506,8.9,22.4,0.399,16.5,22.5,0.735,10.6,24.6,35.2,17.8,6.1,3.5,14.5,18.3,,,,Siena
Wisconsin,2008,Big Ten,3,29,4,0.879,67.2,54.4,19.59,6.73,23.4,52.0,0.449,17.5,35.4,0.493,5.9,16.6,0.356,14.6,20.8,0.705,11.6,24.3,35.9,12.6,6.1,3.3,12.2,14.4,,,"Cal State Fullerton, Kansas State",Davidson
Georgetown,2008,Big East,2,27,5,0.844,69.6,58.1,18.73,7.23,25.1,51.3,0.49,17.2,30.7,0.562,7.9,20.6,0.384,11.4,17.4,0.654,9.9,25.1,35.0,15.5,6.9,4.8,13.5,17.6,,,Maryland-Baltimore County,Davidson
Kansas,2008,Big 12,1,31,3,0.912,80.5,61.5,26.89,8.2,29.4,57.9,0.508,22.6,40.8,0.555,6.8,17.1,0.397,15.0,21.3,0.702,12.1,26.6,38.7,18.0,8.9,5.9,13.2,17.7,,,"Portland State, Nevada-Las Vegas, Villanova, Davidson, North Carolina, Memphis",
Mount St. Mary's,2008,Northeast,16,18,14,0.562,69.2,67.7,-3.59,-5.12,24.2,54.6,0.443,18.2,38.0,0.479,6.0,16.6,0.361,14.9,21.1,0.703,10.1,23.7,33.9,12.9,7.2,3.6,14.3,19.7,,,Coppin State,North Carolina
American,2008,Patriot League,15,21,11,0.656,64.8,62.1,-1.87,-4.0,21.2,48.1,0.44,13.3,28.7,0.462,7.9,19.3,0.408,14.7,19.8,0.739,9.7,22.5,32.2,11.8,4.6,2.6,13.9,17.8,,,,Tennessee
Boise State,2008,WAC,14,25,8,0.758,81.4,75.5,1.6,-2.07,29.2,57.5,0.508,21.3,37.2,0.571,8.0,20.3,0.393,14.9,22.6,0.661,9.9,26.0,35.8,17.8,6.3,2.4,15.7,17.4,,,,Louisville
Winthrop,2008,Big South,13,22,11,0.667,64.9,58.5,3.61,-1.45,23.4,53.4,0.438,17.0,36.1,0.471,6.4,17.2,0.37,11.7,19.8,0.591,11.6,23.6,35.1,12.8,8.4,3.6,12.9,17.4,,,,Washington State
George Mason,2008,CAA,12,23,10,0.697,69.3,62.5,6.07,-0.75,24.3,52.3,0.465,18.3,34.9,0.524,6.0,17.4,0.347,14.6,20.8,0.703,10.0,24.4,34.4,13.1,5.6,3.2,11.9,15.4,,,,Notre Dame
Saint Joseph's,2008,Atlantic 10,11,21,12,0.636,73.1,67.4,9.63,3.98,25.3,52.9,0.477,18.0,34.1,0.528,7.3,18.8,0.386,15.3,21.0,0.726,9.9,22.0,31.9,14.8,7.1,4.5,12.7,17.6,,,,Oklahoma
South Alabama,2008,Sun Belt,10,26,6,0.812,75.1,65.4,7.76,-1.21,25.5,53.8,0.474,18.8,35.4,0.531,6.7,18.4,0.362,17.5,24.9,0.704,12.2,24.8,37.0,15.4,6.1,3.0,13.8,17.2,,,,Butler
Arkansas,2008,SEC,9,22,11,0.667,74.1,68.3,12.48,6.73,26.7,57.2,0.468,20.8,39.8,0.523,5.9,17.3,0.341,14.7,21.7,0.678,12.7,23.7,36.4,14.4,6.9,5.2,15.2,18.9,,,Indiana,North Carolina
Indiana,2008,Big Ten,8,25,7,0.781,75.0,65.3,15.78,6.08,25.4,55.0,0.463,18.7,35.8,0.523,6.7,19.2,0.349,17.5,23.0,0.759,11.7,26.1,37.8,13.2,7.1,3.8,13.6,17.4,,,,Arkansas
Butler,2008,Horizon,7,29,3,0.906,68.8,58.4,13.0,2.64,22.8,50.9,0.449,13.4,26.2,0.513,9.4,24.7,0.38,13.8,18.7,0.737,9.1,20.8,29.9,13.1,6.5,2.4,10.4,17.3,,,South Alabama,Tennessee
Oklahoma,2008,Big 12,6,22,11,0.667,67.9,63.8,11.97,7.85,23.7,53.7,0.442,17.5,35.7,0.49,6.3,18.1,0.348,14.2,20.8,0.681,11.2,24.3,35.4,12.5,6.5,3.9,12.9,17.0,,,Saint Joseph's,Louisville
Notre Dame,2008,Big East,5,24,7,0.774,79.0,69.6,16.15,7.03,27.7,61.1,0.454,19.4,40.5,0.478,8.3,20.5,0.405,15.3,20.8,0.738,13.2,28.3,41.5,18.4,6.2,3.8,13.0,15.1,,,George Mason,Washington State
Washington State,2008,Pac-10,4,24,8,0.75,66.4,56.4,16.35,6.35,23.3,49.0,0.475,17.2,32.4,0.53,6.1,16.6,0.368,13.7,18.9,0.728,7.8,22.0,29.8,13.8,6.2,2.9,10.2,15.3,,,"Winthrop, Notre Dame",North Carolina
Louisville,2008,Big East,3,24,8,0.75,72.5,61.5,19.0,8.0,25.9,55.9,0.463,18.3,34.3,0.535,7.6,21.6,0.35,13.2,20.4,0.647,11.5,25.7,37.2,15.1,8.0,4.9,13.6,18.3,,,"Boise State, Oklahoma, Tennessee",North Carolina
Tennessee,2008,SEC,2,29,4,0.879,81.8,70.0,18.41,7.84,28.8,62.7,0.458,20.1,38.4,0.523,8.7,24.3,0.357,15.7,23.8,0.659,13.9,23.8,37.7,17.7,9.3,3.3,13.2,20.8,,,"American, Butler",Louisville
North Carolina,2008,ACC,1,32,2,0.941,88.6,72.5,24.17,8.12,32.1,65.7,0.488,26.5,50.9,0.521,5.5,14.9,0.372,18.9,25.0,0.757,15.5,27.9,43.5,16.8,8.2,4.5,14.4,16.9,,,"Mount St. Mary's, Arkansas, Washington State, Louisville",Kansas
Niagara,2007,MAAC,16,22,11,0.667,75.8,74.5,-3.41,-4.7,25.4,60.7,0.418,17.6,37.9,0.464,7.8,22.8,0.343,17.2,23.5,0.731,14.8,23.6,38.3,13.3,6.4,1.6,13.5,17.5,,,Florida A&M,Kansas
Weber State,2007,Big Sky,15,20,11,0.645,70.8,69.2,-4.03,-3.33,24.1,49.3,0.489,18.5,35.1,0.527,5.6,14.3,0.395,16.9,25.2,0.672,9.6,23.2,32.8,13.7,6.6,2.4,16.1,19.1,,,,UCLA
Wright State,2007,Horizon,14,23,9,0.719,64.4,62.2,1.94,-0.31,23.2,53.0,0.438,17.8,37.3,0.476,5.5,15.7,0.347,12.5,17.1,0.732,10.1,22.0,32.1,12.2,5.9,1.5,12.1,17.4,,,,Pittsburgh
Holy Cross,2007,Patriot,13,25,8,0.758,63.9,57.5,3.32,-3.06,21.7,49.9,0.435,16.1,33.9,0.475,5.6,16.0,0.351,14.8,20.2,0.734,11.4,20.7,32.1,13.6,9.5,3.6,15.3,18.3,,,,Southern Illinois
Illinois,2007,Big Ten,12,23,11,0.676,64.1,57.1,14.18,7.09,22.6,52.3,0.432,15.7,32.5,0.482,6.9,19.7,0.349,12.1,19.4,0.624,12.5,22.7,35.2,13.9,5.9,2.8,14.0,17.3,,,,Virginia Tech
VCU,2007,CAA,11,27,6,0.818,75.0,65.7,9.49,0.2,25.7,56.3,0.457,18.8,38.9,0.482,7.0,17.4,0.401,16.6,22.8,0.728,12.2,21.1,33.3,13.6,7.7,3.0,11.3,18.4,,,Duke,Pittsburgh
Gonzaga,2007,West Coast,10,23,10,0.697,78.5,70.1,12.15,3.77,27.4,56.8,0.483,20.7,39.7,0.521,6.8,17.1,0.395,16.8,22.4,0.751,10.4,27.0,37.4,14.5,6.2,3.6,13.9,19.2,,,,Indiana
Villanova,2007,Big East,9,22,10,0.688,72.5,64.6,16.13,9.16,23.5,55.4,0.424,16.0,34.0,0.469,7.5,21.3,0.352,18.0,23.1,0.781,13.3,23.0,36.2,12.7,8.1,3.2,13.6,19.5,,,,Kentucky
Kentucky,2007,SEC,8,21,11,0.656,73.4,67.7,17.12,11.41,26.2,54.9,0.476,19.4,35.8,0.541,6.8,19.1,0.355,14.3,20.3,0.703,10.9,25.4,36.3,15.8,5.9,4.7,14.5,16.1,,,Villanova,Kansas
Indiana,2007,Big Ten,7,20,10,0.667,70.2,61.8,16.78,8.35,24.5,54.8,0.446,16.6,34.2,0.485,7.9,20.7,0.381,13.4,18.8,0.71,11.7,22.1,33.8,13.3,6.4,4.4,12.4,20.5,,,Gonzaga,UCLA
Duke,2007,ACC,6,22,10,0.688,70.4,62.0,18.85,10.48,24.9,53.2,0.469,18.9,37.4,0.506,6.0,15.8,0.381,14.6,21.2,0.689,11.5,23.8,35.3,13.1,7.3,4.8,15.4,17.5,,,,Virginia Commonwealth
Virginia Tech,2007,ACC,5,21,11,0.656,71.4,64.1,14.35,8.26,26.1,55.7,0.468,21.3,42.5,0.5,4.8,13.2,0.363,14.5,22.0,0.66,10.8,22.5,33.3,13.2,8.4,4.7,10.9,18.2,,,Illinois,Southern Illinois
Southern Illinois,2007,Missouri Valley,4,27,6,0.818,62.9,56.2,13.59,7.53,21.2,47.3,0.448,14.9,30.3,0.494,6.2,17.0,0.366,14.4,20.8,0.693,9.6,20.3,29.9,11.5,6.6,3.2,14.0,20.2,,,"Holy Cross, Virginia Tech",Kansas
Pittsburgh,2007,Big East,3,27,7,0.794,71.3,62.8,16.99,8.53,26.0,55.0,0.472,19.8,38.8,0.51,6.2,16.2,0.382,13.1,19.9,0.661,12.0,23.6,35.7,17.5,5.2,3.6,11.9,16.6,,,"Wright State, Virginia Commonwealth",UCLA
UCLA,2007,Pac-10,2,26,5,0.839,71.4,59.9,20.9,9.84,26.3,55.2,0.477,19.5,36.9,0.53,6.8,18.3,0.371,11.9,17.9,0.666,10.7,22.2,32.9,14.4,7.5,3.2,12.3,16.5,,,"Weber State, Indiana, Pittsburgh, Kansas",Florida
Kansas,2007,Big 12,1,31,4,0.886,78.4,61.7,22.62,6.86,29.1,59.0,0.494,23.0,43.6,0.528,6.1,15.4,0.396,14.1,21.3,0.66,12.8,26.9,39.7,17.1,9.2,6.5,14.2,18.9,,,"Niagara, Kentucky, Southern Illinois",UCLA
Central Connecticut,2007,Northeast,16,22,11,0.667,68.9,66.1,-3.63,-6.48,23.2,53.6,0.434,15.5,33.4,0.466,7.7,20.2,0.381,14.8,20.2,0.73,11.8,22.9,34.7,12.5,6.0,3.4,14.1,16.0,,,,Ohio State
North Texas,2007,Sun Belt,15,23,10,0.697,77.0,71.2,-3.11,-6.59,27.2,59.7,0.456,20.6,41.8,0.493,6.6,17.9,0.37,15.9,24.1,0.657,14.2,25.6,39.9,12.6,6.6,4.4,15.8,20.3,,,,Memphis
Penn,2007,Ivy,14,22,8,0.733,74.1,67.7,4.16,-1.64,27.0,55.2,0.488,20.9,38.5,0.544,6.1,16.8,0.362,14.1,21.2,0.664,10.5,22.6,33.0,17.4,8.5,3.0,14.0,18.5,,,,Texas A&M
Albany,2007,America East,13,23,9,0.719,67.9,65.1,-1.6,-4.75,24.2,53.4,0.453,17.3,35.0,0.494,6.9,18.4,0.374,12.7,17.5,0.722,11.0,22.7,33.7,13.2,5.8,2.5,13.2,19.2,,,,Virginia
Long Beach State,2007,Big West,12,24,7,0.774,80.5,75.2,2.24,-2.07,28.3,62.3,0.454,19.8,39.6,0.5,8.5,22.8,0.375,15.3,21.8,0.702,12.8,23.8,36.6,14.2,7.4,2.8,13.9,17.5,,,,Tennessee
Stanford,2007,Pac-10,11,18,12,0.6,69.5,67.1,11.16,9.06,25.1,56.1,0.448,19.5,40.0,0.487,5.6,16.1,0.349,13.7,20.2,0.682,12.7,25.7,38.5,14.8,4.6,5.9,14.8,18.4,,,,Louisville
Creighton,2007,Missouri Valley,10,22,10,0.688,67.3,60.9,12.57,6.24,22.4,50.4,0.445,16.2,32.0,0.507,6.2,18.4,0.338,16.2,21.5,0.754,10.3,22.4,32.7,13.4,6.4,2.5,12.6,16.7,,,,Nevada
Xavier,2007,Atlantic 10,9,24,8,0.75,76.3,65.5,14.18,3.39,25.0,52.5,0.476,17.1,32.2,0.53,7.9,20.3,0.39,18.5,24.9,0.741,10.8,22.9,33.7,14.9,5.6,3.5,12.6,17.8,,,Brigham Young,Ohio State
Brigham Young,2007,Mountain West,8,25,8,0.758,78.1,69.0,11.38,3.95,28.6,58.3,0.491,21.1,40.1,0.525,7.5,18.1,0.415,13.4,20.2,0.66,12.2,25.3,37.4,15.9,6.0,3.5,13.4,19.5,,,,Xavier
Nevada,2007,WAC,7,28,4,0.875,77.4,67.5,10.58,1.09,27.9,57.7,0.484,20.5,39.4,0.52,7.4,18.3,0.406,14.1,18.7,0.756,11.7,26.5,38.2,16.7,5.4,4.4,13.3,16.8,,,Creighton,Memphis
Louisville,2007,Big East,6,23,9,0.719,71.6,63.1,16.08,7.69,24.9,57.2,0.434,17.5,35.1,0.498,7.4,22.1,0.333,14.5,21.4,0.678,13.4,23.3,36.7,14.6,7.4,4.2,12.8,20.5,,,Stanford,Texas A&M
Tennessee,2007,SEC,5,22,10,0.688,80.9,75.1,14.97,9.14,28.0,62.5,0.448,18.7,36.9,0.506,9.3,25.6,0.365,15.5,23.7,0.653,13.5,22.3,35.8,15.6,9.6,3.1,14.2,20.1,,,"Long Beach State, Virginia",Ohio State
Virginia,2007,ACC,4,20,10,0.667,77.0,70.8,12.89,7.96,25.4,58.1,0.437,17.3,36.1,0.481,8.0,22.1,0.364,18.2,24.5,0.742,13.2,25.8,39.0,12.9,4.7,3.2,13.7,20.1,,,Albany (NY),Tennessee
Texas A&M,2007,Big 12,3,25,6,0.806,75.6,59.4,21.27,5.12,26.7,53.6,0.498,20.4,38.6,0.528,6.3,15.0,0.422,15.9,22.1,0.716,10.1,25.4,35.6,17.4,6.6,3.3,12.2,19.5,,,"Pennsylvania, Louisville",Memphis
Memphis,2007,C-USA,2,30,3,0.909,78.9,63.1,19.72,3.91,27.7,60.8,0.455,20.2,39.4,0.512,7.5,21.4,0.351,16.0,25.8,0.621,14.9,24.8,39.7,14.5,9.3,5.9,13.3,19.8,,,"North Texas, Nevada, Texas A&M",Ohio State
Ohio State,2007,Big Ten,1,30,3,0.909,74.5,62.0,21.54,9.03,26.4,55.8,0.472,19.0,35.5,0.536,7.4,20.4,0.361,14.4,20.4,0.703,11.1,24.5,35.6,14.9,6.8,5.6,11.4,13.7,,,"Central Connecticut State, Xavier, Tennessee, Memphis, Georgetown",Florida
Eastern Kentucky,2007,Ohio Valley,16,21,11,0.656,65.2,63.3,-4.19,-5.28,23.7,51.2,0.462,15.7,28.3,0.555,8.0,23.0,0.348,9.8,14.4,0.68,8.5,19.7,28.2,14.5,8.0,2.5,13.5,13.6,,,,North Carolina
Belmont,2007,Atlantic Sun,15,23,9,0.719,72.4,64.5,-0.39,-4.71,25.7,55.6,0.462,17.0,31.1,0.546,8.7,24.6,0.355,12.3,17.8,0.692,11.3,25.9,37.2,15.5,6.1,3.2,16.0,18.3,,,,Georgetown
Oral Roberts,2007,Mid-Continent,14,23,10,0.697,71.8,64.9,4.54,-1.04,24.2,52.0,0.466,18.2,35.4,0.516,6.0,16.6,0.361,17.3,24.3,0.711,10.9,24.5,35.4,13.5,6.2,4.5,15.1,17.7,,,,Washington State
New Mexico State,2007,WAC,13,25,8,0.758,78.0,72.4,5.04,0.01,26.6,55.6,0.479,20.8,40.5,0.513,5.9,15.1,0.388,18.9,28.7,0.657,13.5,24.3,37.8,13.9,7.1,2.8,16.9,20.5,,,,Texas
Arkansas,2007,SEC,12,21,13,0.618,71.1,66.0,13.77,8.74,25.2,54.6,0.461,19.1,37.1,0.516,6.1,17.5,0.346,14.7,20.9,0.703,11.2,24.0,35.2,14.9,6.9,6.3,15.2,17.5,,,,Southern California
George Washington,2007,Atlantic 10,11,23,8,0.742,70.2,64.6,5.61,0.64,25.8,56.2,0.458,20.4,41.7,0.49,5.3,14.5,0.368,13.4,19.1,0.7,12.2,21.9,34.1,14.4,9.1,4.4,13.9,18.8,,,,Vanderbilt
Texas Tech,2007,Big 12,10,21,12,0.636,71.7,69.1,9.71,7.16,24.8,54.6,0.453,18.6,39.8,0.469,6.1,14.9,0.412,16.0,21.7,0.739,9.4,21.2,30.6,13.3,6.8,1.8,11.6,17.4,,,,Boston College
Michigan State,2007,Big Ten,9,22,11,0.667,65.0,57.2,16.3,8.45,23.0,49.1,0.469,17.8,35.2,0.506,5.2,13.9,0.374,13.8,19.2,0.718,11.3,23.5,34.8,16.0,5.1,4.6,14.9,18.6,,,Marquette,North Carolina
Marquette,2007,Big East,8,24,9,0.727,71.9,64.9,14.14,6.95,25.0,57.4,0.436,18.6,38.2,0.488,6.4,19.1,0.333,15.4,23.0,0.669,14.4,22.4,36.8,14.0,8.7,3.4,14.6,20.3,,,,Michigan State
Boston College,2007,ACC,7,20,11,0.645,74.3,69.8,13.76,9.21,25.5,53.4,0.478,19.6,36.4,0.538,5.9,17.0,0.349,17.4,24.0,0.724,11.9,22.7,34.6,14.6,5.7,5.8,13.8,15.3,,,Texas Tech,Georgetown
Vanderbilt,2007,SEC,6,20,11,0.645,76.3,70.2,12.76,7.79,26.6,58.4,0.456,17.3,33.6,0.514,9.3,24.8,0.376,13.8,18.9,0.729,10.2,23.5,33.7,17.0,7.6,2.7,12.4,17.2,,,"George Washington, Washington State",Georgetown
USC,2007,Pac-10,5,23,11,0.676,71.8,65.2,13.78,7.87,25.6,53.7,0.476,20.0,39.6,0.504,5.6,14.1,0.396,15.1,21.1,0.715,9.4,25.1,34.5,12.8,5.6,4.0,14.6,17.8,,,"Arkansas, Texas",North Carolina
Texas,2007,Big 12,4,24,9,0.727,81.7,72.2,15.6,6.12,27.5,61.8,0.445,18.7,39.2,0.477,8.8,22.6,0.389,17.9,24.3,0.736,13.8,26.0,39.7,13.7,7.5,5.6,12.4,17.5,,,New Mexico State,Southern California
Washington State,2007,Pac-10,3,25,7,0.781,66.9,59.5,13.33,6.0,24.3,52.3,0.465,18.5,36.8,0.504,5.8,15.5,0.372,12.5,17.4,0.717,8.0,22.7,30.7,13.9,6.6,4.6,10.4,16.1,,,Oral Roberts,Vanderbilt
Georgetown,2007,Big East,2,26,6,0.812,69.1,58.0,19.62,9.48,24.9,49.4,0.505,18.6,32.2,0.578,6.4,17.2,0.37,12.8,18.0,0.711,11.1,22.7,33.8,14.7,5.2,5.1,13.4,16.5,,,"Belmont, Boston College, Vanderbilt, North Carolina",Ohio State
North Carolina,2007,ACC,1,28,6,0.824,85.7,68.6,26.41,9.3,31.2,62.6,0.499,25.6,46.8,0.546,5.7,15.8,0.358,17.6,24.7,0.712,13.7,27.1,40.8,18.3,8.1,4.6,13.8,17.0,,,"Eastern Kentucky, Michigan State, Southern California",Georgetown
Jackson State,2007,SWAC,16,21,13,0.618,71.1,73.5,-12.28,-9.94,25.1,60.2,0.417,19.5,42.5,0.46,5.5,17.7,0.313,15.4,21.7,0.711,13.4,22.3,35.7,13.4,8.3,3.1,15.3,20.7,,,,Florida
